13,,13,Music Theatre International,,,
1776,,1776,Music Theatre International,,,
25th Annual Putnam County Spelling Bee,,25th Annual Putnam County Spelling Bee,Music Theatre International,,,
Aida,Original,Aida,Music Theatre International,,,
Aint Misbehavin',,Aint Misbehavin',Music Theatre International,,,
Annie,,Annie,Music Theatre International,,,
Annie Get Your Gun,Original Version,Annie Get Your Gun (Original version),Rodgers & Hammerstein,/media/downloads/AE_AGYG_Orig-r1_2-1_1e.exe,/media/downloads/AE_AGYG_Orig-r1_1s-1_1e.zip,
Annie Get Your Gun,Peter Stone Version,Annie Get Your Gun (Stone version),Rodgers & Hammerstein,/media/downloads/AE_AGYG_Stone-r1_2-2_1e.exe,/media/downloads/AE_AGYG_Stone-r1_1s-2_1e.zip,
Annie Warbucks,,Annie Warbucks,Music Theatre International,,,
The Apple Tree,,The Apple Tree,Music Theatre International,,,
Avenue Q,,Avenue Q,Music Theatre International,,,
Baby,,Baby,Music Theatre International,,,
Beauty And The Beast,Large Orchestration,Beauty & The Beast (Large Orch),Music Theatre International,,,
Big,,Big,Music Theatre International,,,
Big River,,Big River,Rodgers & Hammerstein,/media/downloads/AE_Big_River-r1_2-1_2e.exe,/media/downloads/AE_Big_River-r1_1s-1_2e.zip,
The Boy Friend,,The Boy Friend,Music Theatre International,,,
Bugsy Malone,,Bugsy Malone,Music Theatre International,,,
Candide,,Candide,Music Theatre International,,,
Carousel,,Carousel,Rodgers & Hammerstein,/media/downloads/AE_Carousel-r1_2-1_4e.exe,/media/downloads/AE_Carousel-r1_1s-1_4e.zip,
Cats,16 piece,Cats,Rodgers & Hammerstein,/media/downloads/AE_Cats-r1_2-1_8e.exe,/media/downloads/AE_Cats-r1_1s-1_8e.zip,
Children Of Eden,,Children Of Eden,Music Theatre International,,,
Cinderella,Original Version,Cinderella (1957 Original),Rodgers & Hammerstein,/media/downloads/AE_Cind_orig-r1_2-1_9e.exe,/media/downloads/AE_Cind_orig-r1_1s-1_9e.zip,
Cinderella,Enchanted Edition,Cinderella (1997 Enchanted),Rodgers & Hammerstein,/media/downloads/AE_Cind_ench-r1_2-1_3e.exe,/media/downloads/AE_Cind_ench-r1_1s-1_3e.zip,
Closer Than Ever,,Closer Than Ever,Music Theatre International,,,
Company,,Company,Music Theatre International,,,
Copacabana,,Copacabana,Music Theatre International,,,
Damn Yankees,,Damn Yankees,Music Theatre International,,,
The Drowsy Chaperone,,The Drowsy Chaperone,Music Theatre International,,,
Evita,,Evita,Rodgers & Hammerstein,/media/downloads/AE_Evita-r1_2-1_6e.exe,/media/downloads/AE_Evita-r1_1s-1_6e.zip,
Fame,,Fame,Music Theatre International,,,
The Fantasticks,,The Fantasticks,Music Theatre International,,,
Fiddler On The Roof,,Fiddler On The Roof,Music Theatre International,,,
Footloose,,Footloose,Rodgers & Hammerstein,/media/downloads/AE_Footloose-r1_2-1_7e.exe,/media/downloads/AE_Footloose-r1_1s-1_7e.zip,
Forever Plaid,,Forever Plaid,Music Theatre International,,,
The Full Monty,,The Full Monty,Music Theatre International,,,
A Funny Thing Happened On The Way To The Forum,,A Funny Thing...Forum,Music Theatre International,,,
Godspell,,Godspell,Music Theatre International,,,
Guys & Dolls,,Guys & Dolls,Music Theatre International,,,
Hairspray,,Hairspray,Music Theatre International,,,
High School Musical,,High School Musical,Music Theatre International,,,
Honk!,,Honk!,Music Theatre International,,,
Hot Mikado,,Hot Mikado,Music Theatre International,,,
How To Succeed In Business Without Really Trying,,How To Succeed...,Music Theatre International,,,
I Love You - You're Perfect - Now Change!,,I Love You-You're Perfect-Now Change,Rodgers & Hammerstein,/media/downloads/AE_ILYYPNC-r1_2-1_51e.exe,/media/downloads/AE_ILYYPNC-r1_1s-1_51e.zip,
In The Heights,Broadway Orchestration,In The Heights (Broadway),Rodgers & Hammerstein,/media/downloads/AE_InHeights_Bway-r1_2-1_7e.exe,/media/downloads/AE_InHeights_Bway-r1_1s-1_7e.zip,
Into The Woods,,Into The Woods,Music Theatre International,,,
Jekyll & Hyde,,Jekyll & Hyde,Music Theatre International,,,
Jesus Christ Superstar,Original Orchestration,Jesus Christ Superstar,Rodgers & Hammerstein,/media/downloads/AE_JCSuperstar-r1_2-1_3e.exe,/media/downloads/AE_JCSuperstar-r1_1s-1_3e.zip,
Joseph and the Amazing Technicolor® Dreamcoat,Original Version,Joseph...Dreamcoat (Original),Rodgers & Hammerstein,/media/downloads/AE_Joseph_orig-r1_2-1_7e.exe,/media/downloads/AE_Joseph_orig-r1_1s-1_7e.zip,
Joseph and the Amazing Technicolor® Dreamcoat,1993 UK Megamix,Joseph...Dreamcoat (UK-Mega Mix),Rodgers & Hammerstein,/media/downloads/AE_Joseph_MM-r1_2-1_5e.exe,/media/downloads/AE_Joseph_MM-r1_1s-1_5e.zip,
The King and I,,The King And I,Rodgers & Hammerstein,/media/downloads/AE_KingI-r1_2-2_1e.exe,/media/downloads/AE_KingI-r1_1s-2_1e.zip,
The Last Five Years,,The Last Five Years,Music Theatre International,,,
Legally Blonde,,Legally Blonde,Music Theatre International,,,
Les Misérables,,Les Miserables,Music Theatre International,,,
Les Misérables,School Edition,Les Miserables (School Edition),Music Theatre International,,,
The Light in the Piazza,,The Light In The Piazza,Rodgers & Hammerstein,/media/downloads/AE_LightPiazza-r1_2-1_2e.exe,/media/downloads/AE_LightPiazza-r1_1s-1_2e.zip,
A Little Night Music,,A Little Night Music,Music Theatre International,,,
Little Shop Of Horrors,Original,Little Shop Of Horrors (Original),Music Theatre International,,,
Little Shop Of Horrors,2003 Broadway,Little Shop Of Horrors (Revival 2003),Music Theatre International,,,
Little Women,,Little Women,Music Theatre International,,,
Mary Poppins,,Mary Poppins,Music Theatre International,,,
Miss Saigon,,Miss Saigon,Music Theatre International,,,
Miss Saigon,School Edition,Miss Saigon (School Edition),Music Theatre International,,,
The Most Happy Fella,,The Most Happy Fella,Music Theatre International,,,
The Music Man,,The Music Man,Music Theatre International,,,
Oklahoma!,,Oklahoma,Rodgers & Hammerstein,/media/downloads/AE_Oklahoma-r1_2-1_8e.exe,/media/downloads/AE_Oklahoma-r1_1s-1_8e.zip,
Once On This Island,,Once On This Island,Music Theatre International,,,
