13
1776
25th Annual...Spelling Bee
Aida
Aint Misbehavin'
Annie
Annie Warbucks
The Apple Tree
Baby
Beauty And The Beast
Big
The Boy Friend
Bugsy Malone
Candide
Children Of Eden
Closer Than Ever
Company
Copacabana
Damn Yankees
Dirty Rotten Scoundrels
The Drowsy Chaperone
Fame
The Fantasticks
Fiddler On The Roof
Forever Plaid
The Full Monty
A Funny Thing Happened...
Godspell
The Goodbye Girl
Guys & Dolls
Hairspray
High School Musical
Honk!
Hot Mikado
How To Succeed...
Into The Woods
Jekyll & Hyde
The Last Five Years
Les Miserables SE
A Little Night Music
Little Shop Of Horrors (Original)
Little Shop Of Horrors (Revival 2003)
Little Women
Miss Saigon
The Most Happy Fella
The Music Man
Once On This Island
The Pajama Game
Pippin
The Pirates Of Penzance
The Producers
Ragtime
Ragtime SE
Rent
Rent SE
Saturday Night
Schoolhouse Rock
Seussical (Female Cat)
Seussical (Male Cat)
She Loves Me
Singin In The Rain
Sweeney Todd
Sweeney Todd SE
Thoroughly Modern Millie
Thoroughly Modern Millie SE
Tom Sawyer
Tommy
Urinetown
The Wedding Singer
West Side Story
Willy Wonka
Working
Working (2009)
And The World Goes Round
